AFFGEOID,DNAME11
1500000US510594315001, 92
1500000US510594825031, 52
1500000US510594814001, 62
1500000US510594823022, 62
1500000US510594208003, 89
1500000US510594216001, 89
1500000US510594521011, 95
1500000US510594513002, 99
1500000US510594514002, 99
1500000US510594506013, 64
1500000US511838703002, 58
1500000US511430110013, 25
1500000US511670304012, 2
1500000US511690303002, 3
1500000US511770202022, 90
1500000US511790105021, 90
1500000US511790102052, 79
1500000US511790103033, 79
1500000US516839102014, 81
1500000US516839102011, 81
1500000US515400010002, 70
1500000US515900001001, 25
1500000US515900003001, 25
1500000US515900005001, 25
1500000US515900010002, 25
1500000US511970502004, 4
1500000US516600002042, 22
1500000US515708303001, 59
1500000US518400002014, 91
1500000US518400002023, 91
1500000US518400002025, 91
1500000US516600004023, 22
1500000US516708203001, 57
1500000US510754002002, 75
1500000US510131001002, 30
1500000US510131007003, 31
1500000US510131001001, 30
1500000US516400701015, 4
1500000US517900002002, 20
1500000US515102001042, 93
1500000US515102003023, 93
1500000US515102008022, 98
1500000US515102009001, 98
1500000US516105002002, 64
1500000US515102010001, 100
1500000US515102014002, 98
1500000US515102014003, 98
1500000US515102015001, 98
1500000US515102018014, 98
1500000US515102004051, 93
1500000US515102006003, 93
1500000US515102003034, 93
1500000US517600710014, 76
1500000US517600104021, 66
1500000US517600502003, 76
1500000US517600407001, 76
1500000US517600405001, 76
1500000US517600411001, 77
1500000US517600604005, 77
1500000US517600604002, 77
1500000US517600709001, 77
1500000US517600402001, 77
1500000US517600302002, 60
1500000US517600301002, 60
1500000US516708206002, 57
1500000US517600206002, 60
1500000US517600604001, 77
1500000US517600607005, 77
1500000US517600708022, 71
1500000US516789305004, 16
1500000US516859201003, 81
1500000US515400010003, 70
1500000US515400004022, 70
1500000US516300004002, 90
1500000US516300001001, 90
1500000US516300002004, 90
1500000US515400005021, 70
1500000US515400007002, 70
1500000US517600701003, 67
1500000US517600710013, 76
1500000US517308106002, 58
1500000US517308107001, 59
1500000US517308112002, 58
1500000US517600109002, 60
1500000US516003001004, 87
1500000US516003005003, 87
1500000US510538403002, 58
1500000US511552104002, 5
1500000US511552102013, 5
1500000US511910105012, 2
1500000US510411009211, 67
1500000US510411009072, 67
1500000US510411008231, 59
1500000US510411008053, 71
1500000US511959315003, 1
1500000US510411008071, 71
1500000US510411008042, 71
1500000US510411009292, 69
1500000US510411006002, 59
1500000US510411006003, 59
1500000US510839308001, 8
1500000US510510402002, 1
1500000US510411009103, 67
1500000US510131009003, 99
1500000US510131029022, 100
1500000US510131031002, 100
1500000US517000313003, 42
1500000US517000320063, 44
1500000US515500210124, 40
1500000US517000321233, 44
1500000US515500213013, 33
1500000US510932801061, 48
1500000US510932801062, 48
1500000US510411005052, 59
1500000US510411004072, 71
1500000US510411002061, 71
1500000US510411004094, 59
1500000US510131018011, 31
1500000US517600706014, 77
1500000US516200901003, 45
1500000US511730307012, 7
1500000US518400001003, 91
1500000US510131011001, 30
1500000US510131009001, 30
1500000US510131007001, 31
1500000US510131006002, 31
1500000US510131015005, 31
1500000US510131019003, 31
1500000US510131025003, 100
1500000US510131032004, 100
1500000US510131017023, 31
1500000US510350803003, 4
1500000US510770601013, 4
1500000US517900002003, 20
1500000US517900003003, 20
1500000US517900004003, 20
1500000US517900005002, 20
1500000US510594619021, 87
1500000US510594917025, 86
1500000US510594916012, 86
1500000US510594916011, 86
1500000US510594309021, 85
1500000US510594822033, 62
1500000US510594316002, 92
1500000US510594712011, 64
1500000US510310203001, 19
1500000US510310204022, 19
1500000US510411004061, 71
1500000US510411002054, 71
1500000US510411010111, 69
1500000US511539001001, 94
1500000US511539004092, 96
1500000US511539006001, 94
1500000US511539005021, 96
1500000US511539004072, 96
1500000US511539010091, 78
1500000US510594811021, 52
1500000US510594506012, 64
1500000US510594911034, 84
1500000US510594911033, 84
1500000US510594528021, 99
1500000US510594612011, 87
1500000US510411009232, 67
1500000US510411010081, 69
1500000US510594711001, 64
1500000US510594320002, 85
1500000US510594205021, 89
1500000US510594302021, 85
1500000US510594217012, 89
1500000US510594217011, 88
1500000US510594405021, 87
1500000US510594826024, 86
1500000US510594210022, 88
1500000US510411008201, 71
1500000US518100440031, 9
1500000US518100434001, 23
1500000US517402131012, 35
1500000US517402121001, 32
1500000US511498501001, 57
1500000US510594619012, 87
1500000US510594802021, 63
1500000US510594901011, 84
1500000US510594825014, 52
1500000US510594918032, 86
1500000US510131028011, 99
1500000US510131022004, 99
1500000US518000751023, 35
1500000US518000751011, 35
1500000US517100007001, 24
1500000US517600706013, 77
1500000US517100057021, 24
1500000US517100024001, 34
1500000US517100022002, 34
1500000US517100044003, 41
1500000US517100058001, 24
1500000US517100036001, 34
1500000US516500103072, 36
1500000US516500103092, 42
1500000US511076106041, 54
1500000US511076105043, 53
1500000US515200204004, 2
1500000US516500115004, 42
1500000US510131023021, 99
1500000US510131028015, 100
1500000US510131014034, 31
1500000US517600610002, 77
1500000US517600604004, 77
1500000US517600608002, 77
1500000US517100037002, 32
1500000US518000755015, 35
1500000US518000757024, 45
1500000US517700006022, 13
1500000US517700011001, 17
1500000US517700024001, 17
1500000US517700026001, 17
1500000US518000654001, 45
1500000US517600104012, 66
1500000US517600202002, 60
1500000US517100070021, 43
1500000US510131014023, 31
