11 5301
-76.1874382489 36.7892497674 dark-yellow
-77.5564486605 37.6285457626 dark-orange
-77.5067541886 38.7810801997 royalblue
-77.6909558564 37.4144072271 dark-orange
-76.5182354046 37.157310952 web-blue
-79.1639674446 37.4018021406 dark-magenta
-77.5550068106 37.5364326555 dark-orange
-76.2597168112 36.8807250704 web-green
-77.4133870488 38.9142076607 goldenrod
-76.3062706287 36.8683830864 web-green
-77.3058812188 37.2992367538 web-blue
-76.6705584644 37.2601951068 web-blue
-78.4386116345 38.6714661862 red
-77.243373647 38.807592978 goldenrod
-77.0733424933 38.8895512219 dark-cyan
-76.2011644112 36.8069936908 dark-yellow
-77.1370941012 38.8992715249 dark-cyan
-76.5243256961 37.1294807894 web-blue
-77.2166171549 38.6986819973 dark-cyan
-76.1422513765 36.9020451646 dark-yellow
-77.1343285663 38.8205487472 dark-cyan
-80.426529658 37.2476118435 dark-spring-green
-77.157264639 38.8487685665 dark-cyan
-76.2552512507 36.8779361458 dark-yellow
-77.1800163891 38.8214076543 dark-cyan
-77.2905045861 38.8404147946 goldenrod
-76.1353179151 36.8703255308 dark-yellow
-76.2431873657 36.8666169744 dark-yellow
-76.1433240976 36.8402566819 dark-yellow
-77.1391520534 38.786077501 dark-cyan
-77.0538856333 38.7556660218 dark-cyan
-77.5546680176 37.4385899882 dark-orange
-77.4254009368 38.9529472714 royalblue
-77.393922101 38.9729623421 goldenrod
-77.0675913876 38.7158424689 dark-cyan
-77.3268664347 38.9274555463 goldenrod
-79.0885780879 38.159035337 red
-76.4242319723 36.986067782 web-green
-77.2800371312 37.3104789303 web-blue
-77.4441116649 38.8470540661 royalblue
-77.2896739884 38.7943203995 goldenrod
-77.0988910157 38.781152713 dark-cyan
-77.4353227242 37.5008007398 web-blue
-77.3820193369 38.9900345312 goldenrod
-76.5453824998 36.7487823115 web-green
-76.2209308966 36.6987350059 dark-yellow
-76.2672035735 36.8128874861 dark-yellow
-77.401811637 37.2326690457 web-blue
-77.5520390895 36.6809641165 web-blue
-77.2657209724 38.8798613407 goldenrod
-76.4297139122 37.012953842 web-green
-77.0547888474 38.8252823998 dark-cyan
-77.4739014016 37.4657116091 dark-orange
-76.1905820018 36.8093536421 dark-yellow
-77.448353613 38.8151566211 royalblue
-77.4740229453 37.5617457714 dark-orange
