20 5301
-79.0693166025 37.622179155 6.31271623484
-76.4436347284 36.8310937412 6.32350744629
-76.4441347353 37.112403645 6.32472182484
-79.6030740181 36.9190514071 6.30541944874
-76.9925784723 37.4747048434 6.31363744417
-77.6826908327 37.2044208394 6.31985243162
-76.0408505246 36.925944047 6.32364952416
-77.4248703241 38.4293231945 6.33557564736
-77.4352433418 38.8178419161 6.33827152167
-81.9013564261 36.8864317245 6.2418597347
-77.6381496694 37.7779628498 6.3218577037
-78.6046487899 38.2718122097 6.32477512359
-77.2536611066 38.740503991 6.33870201166
-76.226072936 36.8117639571 6.32506272888
-80.2365220996 37.2290715822 6.31713443867
-77.4759323145 37.526696328 6.32483210063
-77.0923856157 38.811561732 6.33928080547
-77.9683612043 38.9258724422 6.32664416149
-77.1849105586 38.8831297705 6.339043208
-77.4317665942 39.0115544211 6.33826756592
-76.9810889951 38.2682565742 7 1226
-82.2177767553 36.6014205371 9 1805
-77.4192968201 37.1952819101 5 2019
-76.2607220415 36.8106899445 13 961
-77.1059611691 38.8343536885 16 1798
-79.142320909 37.3882310502 0 2522
-79.1164527211 37.4101474406 0 823
-77.4055459542 37.2120031526 5 1162
-76.0495657707 36.8717340906 6 1890
-77.3795413399 37.510647252 4 85 15 1210
-77.4544250847 38.864665466 8 1209
-77.1292149046 38.7918450384 16 2637
-78.5004466056 38.067305953 11 972
-76.3161845601 36.7779049334 1 1165
-76.2981030652 36.8827857624 1 1729
-77.4002031914 37.5112780535 15 1575
-77.5810695995 37.6035004359 10 2171
-76.1334532273 36.9049889205 6 1978
-77.2426040766 38.7816067341 12 2220
-77.6188279131 38.8101124966 17 2106
-80.3968602644 37.211934736 14 892
-79.8896563851 36.6833709363 3 608
-77.0761475038 38.8626565271 16 1258
-77.0440232647 38.7953806943 16 1435
-77.5133200582 37.5713423307 15 1333
-77.5208182225 37.599805397 15 2015
-76.1502170153 36.775376654 13 1318
-77.4050743723 37.5408188453 15 591
-75.9926455057 36.9006369969 6 1396
-77.5563183313 37.5979244021 10 1446
-77.0540189833 38.8586412855 16 2024
-77.0615871224 38.7922294678 16 1657
-77.4022243842 38.8784727974 8 2550
-79.9968514049 37.2903818324 14 2036
-77.0627157677 38.8305925833 16 842
-78.1742680157 39.180373495 17 636
-77.0650861784 38.8602192321 16 924
-77.3901231074 38.8734044352 8 2729
-76.3494948283 36.8481402269 1 795
-77.1667784863 38.9086513377 18 1644
